,School,School_Rank,School_Type,Setting,Address,City,State,Private_Cost,In_State_Cost,Out_State_Cost,Average_Cost_After_Aid,Undergraduate_Enrollment,Acceptance_Rate,Application_Date,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,High_School_GPA,Room_and_Board,Average_Need_Based_Aid_Package,Bibliometric_rank,Graduate_Enrollment,Total_Enrollment,Full_Time_Students,Student_Faculty_Ratio,Classes_Under20_Students,Male_Student_Percentage,Female_Student_Percentage,Minority_Enrollment,Minority_Percentage,Ethnic_Group_2,Ethnic_Percentage_2,Ethnic_Group_3,Ethnic_Percentage_3,Ethnic_Group_4,Ethnic_Percentage_4,Ethnic_Group_5,Ethnic_Percentage_5,Ethnic_Group_6,Ethnic_Percentage_6,Ethnic_Group_7,Ethnic_Percentage_7,Ethnic_Group_8,Ethnic_Percentage_8,Graduation_Rate,Percentage_of_Graduating_Students_Who_Borrowed,Average_Debt_at_Graduation,Median_Starting_Salary,Latitude,Longitude
0,Princeton University,1,Private,Suburban,"Princeton, NJ, 08544",Princeton,NJ,59710,,,11080,5604,6,1-Jan,1500,1580,34,35,3.9,19380,62844,5,3238,8842,5527,5,74,50,50,Minority Enrollment,49,White,38,Asian,24,International,12,Hispanic,10,Black,8,Two or more races,7,Unknown,2,88,17,12500,64287,40.3492,-74.6528
0,Massachusetts Institute of Technology,2,Private,Urban,"77 Massachusetts Avenue, Cambridge, MA, 02139",Cambridge,MA,60156,,,5084,4657,4,1-Jan,1520,1580,35,36,,19390,60077,1,7201,11858,4582,3,71,52,48,Minority Enrollment,64,Asian,34,White,22,Hispanic,15,International,11,Black,8,Two or more races,7,Unknown,3,89,15,25556,102988,42.3647,-71.1042
0,Harvard University,3,Private,,"Cambridge, MA, 02138",Cambridge,MA,59076,,,13259,7240,3,1-Jan,1490,1580,34,36,3.9,20374,70387,3,14373,21613,7178,7,71,48,52,Minority Enrollment,52,White,34,Asian,23,International,13,Hispanic,12,Black,9,Two or more races,8,Unknown,1,87,15,13683,86549,42.377,-71.1256
0,Stanford University,3,Private,Suburban,"Stanford, CA, 94305",Stanford,CA,62484,,,7200,8049,4,5-Jan,1500,1580,33,35,3.9,19922,72000,2,10234,18283,7761,6,69,49,51,Minority Enrollment,62,Asian,26,White,26,Hispanic,18,International,11,Two or more races,10,Black,7,American Indian,1,73,14,20691,77677,37.4236,-122.1619
0,Yale University,5,Private,City,"New Haven, CT, 06520",New Haven,CT,64700,,,16341,6645,5,2-Jan,1500,1580,33,35,,19180,70295,12,8161,14806,6473,6,73,49,51,Minority Enrollment,52,White,35,Asian,22,Hispanic,15,International,10,Black,8,Two or more races,7,Unknown,1,88,14,17910,60511,41.3082,-72.9282
0,University of Pennsylvania,6,Private,Urban,"1 College Hall, Room 100, Philadelphia, PA, 19104",Philadelphia,PA,66104,,,14851,9760,7,5-Jan,1500,1570,34,35,3.9,18496,62265,17,13614,23374,9717,8,59,46,54,Minority Enrollment,51,White,31,Asian,28,International,13,Hispanic,10,Black,8,Two or more races,5,Unknown,5,88,18,27705,76746,39.9597,-75.2024
0,California Institute of Technology,7,Private,Suburban,"1200 E. California Boulevard, Pasadena, CA, 91125",Pasadena,CA,63255,,,29279,982,3,3-Jan,,,,,,19503,64303,12,1419,2401,982,3,71,55,45,Minority Enrollment,68,Asian,34,Hispanic,22,White,21,Two or more races,9,International,9,Black,3,Unknown,1,81,27,17219,86037,34.1478,-118.1445
0,Duke University,7,Private,,"2138 Campus Drive, Box 90586, Durham, NC, 27708",Durham,NC,66172,,,31416,6640,6,3-Jan,1490,1570,34,35,,19066,63935,19,11384,18024,6543,5,71,47,53,Minority Enrollment,48,White,37,Asian,21,Hispanic,11,International,10,Black,9,Two or more races,7,Unknown,4,91,24,24990,69932,36.0287,-78.924
0,Brown University,9,Private,City,"Box 1920, Providence, RI, 02912",Providence,RI,68230,,,26308,7639,5,3-Jan,1490,1580,34,36,,16598,62234,43,3550,11189,7166,6,69,48,52,Minority Enrollment,47,White,38,Asian,19,Hispanic,12,International,12,Black,8,Two or more races,8,Unknown,3,85,21,26272,54465,41.824,-71.4128
0,Johns Hopkins University,9,Private,Urban,"3400 N. Charles Street, Baltimore, MD, 21218",Baltimore,MD,63340,,,14254,6044,7,3-Jan,1520,1570,34,35,3.9,19840,62498,21,25231,31275,5633,6,78,45,55,Minority Enrollment,63,Asian,27,White,21,Hispanic,20,International,15,Black,9,Two or more races,7,Unknown,1,89,34,17712,78932,39.3265,-76.6048
0,Northwestern University,9,Private,,"633 Clark Street, Evanston, IL, 60208",Evanston,IL,65997,,,28230,8659,7,2-Jan,1490,1570,33,35,,20334,63954,6,14073,22732,8526,7,78,46,54,Minority Enrollment,49,White,37,Asian,21,Hispanic,14,International,11,Black,7,Two or more races,7,Unknown,3,87,29,34309,66776,42.0586,-87.6845
